;Oliver;Cindrić;ocindric@ingenii.hr;2012-11-16;4;8;1
;Mark;Marušić;mmarusic@ingenii.hr;2015-03-19;3;8;1
;Benjamin;Vučković;bvuckovic@ingenii.hr;2014-03-22;4;8;1
;Dino;Topić;dtopic@ingenii.hr;2019-06-03;5;8;1
;Toni;Rukavina;trukavina@ingenii.hr;2014-02-21;3;8;1
;Maks;Jozić;mjozic@ingenii.hr;2017-09-30;4;9;1
;Lucas;Delić;ldelic@ingenii.hr;2014-01-04;2;9;1
;Noel;Novaković;nnovakovic@ingenii.hr;2018-07-14;3;9;1
;Leonardo;Varga;lvarga@ingenii.hr;2016-04-14;3;9;1
;Vigo;Pavičić;vpavicic@ingenii.hr;2019-01-07;4;9;1
;Maksim;Bogdan;mbogdan@ingenii.hr;2014-04-12;4;9;1
;Kristijan;Grubišić;kgrubisic@ingenii.hr;2011-06-04;3;9;1
;Tomislav;Đurić;tdjuric@ingenii.hr;2019-10-21;3;9;1
;Noah;Špoljarić;nspoljaric@ingenii.hr;2016-01-11;3;9;1
;Pavle;Dujmović;pdujmovic@ingenii.hr;2010-12-06;3;9;1
;Arian;Vukelić;avukelic@ingenii.hr;2010-07-13;4;10;1
;Manuel;Kolar;mkolar@ingenii.hr;2016-02-19;2;10;1
;Mislav;Burić;mburic@ingenii.hr;2012-02-06;3;10;1
;Jure;Štimac;jstimac@ingenii.hr;2017-11-15;3;10;1
;Neo;Petković;npetkovic@ingenii.hr;2011-02-25;3;10;1
;Robert;Kolarić;rkolaric@ingenii.hr;2015-06-23;4;10;1
;Vedran;Petrić;vpetric@ingenii.hr;2010-06-09;5;10;1
;Frane;Brajković;fbrajkovic@ingenii.hr;2010-04-20;3;10;1
;Ian;Bačić;ibacic@ingenii.hr;2012-05-18;4;10;1
;Mate;Jakšić;mjaksic@ingenii.hr;2016-05-31;3;10;1
;Oskar;Jović;ojovic@ingenii.hr;2012-11-04;4;11;1
;Lucija;Ivić;livic@ingenii.hr;2016-04-30;2;11;1
;Ema;Stanković;estankovic@ingenii.hr;2014-01-17;5;11;1
;Ana;Ružić;aruzic@ingenii.hr;2010-02-01;3;11;1
;Marta;Pranjić;mpranjic@ingenii.hr;2016-12-02;3;11;1
;Rita;Stojanović;rstojanovic@ingenii.hr;2015-08-28;4;11;1
;Marija;Antunović;mantunovic@ingenii.hr;2014-05-19;3;11;1
;Laura;Mitrović;lmitrovic@ingenii.hr;2010-09-29;3;11;1
;Lea;Lončarić;lloncaric@ingenii.hr;2019-09-14;5;11;1
;Dora;Ban;dban@ingenii.hr;2010-02-26;3;11;1
;Lara;Tolić;ltolic@ingenii.hr;2014-10-01;4;12;1
;Franka;Josipović;fjosipovic@ingenii.hr;2015-08-25;2;12;1
;Katja;Pejić;kpejic@ingenii.hr;2013-10-24;4;12;1
;Helena;Pintarić;hpintaric@ingenii.hr;2017-03-15;3;12;1
;Karla;Golubić;kgolubic@ingenii.hr;2015-06-16;5;12;1
;Magdalena;Anić;manic@ingenii.hr;2015-02-14;4;12;1
;Maša;Prpić;mprpic@ingenii.hr;2018-04-14;3;12;1
;Sofia;Tokić;stokic@ingenii.hr;2019-01-15;3;12;1
;Jana;Erceg;jerceg@ingenii.hr;2018-12-16;3;12;1
;Paula;Petričević;ppetricevic@ingenii.hr;2017-06-03;4;12;1
;Vita;Budimir;vbudimir@ingenii.hr;2019-06-06;4;13;1
;Tara;Baričević;tbaricevic@ingenii.hr;2017-07-09;2;13;1
;Hana;Martić;hmartic@ingenii.hr;2010-10-26;3;13;1
;Nina;Starčević;nstarcevic@ingenii.hr;2012-01-03;3;13;1
;Mara;Vlašić;mvlasic@ingenii.hr;2014-08-02;3;13;1
;Ela;Vrdoljak;evrdoljak@ingenii.hr;2012-04-29;4;13;1
;Matea;Mijatović;mmijatovic@ingenii.hr;2019-10-02;4;13;1
;Nora;Car;ncar@ingenii.hr;2016-07-01;3;13;1
;Ella;Majić;emajic@ingenii.hr;2013-04-27;3;13;1
;Vida;Šimunić;vsimunic@ingenii.hr;2010-02-04;3;13;1
;Pia;Horvatić;phorvatic@ingenii.hr;2012-06-09;4;14;1
;Kiara;Mlinarić;kmlinaric@ingenii.hr;2014-11-29;2;14;1
;Maria;Ljubičić;mljubicic@ingenii.hr;2011-11-04;5;14;1
;Aria;Pavlić;apavlic@ingenii.hr;2013-01-03;4;14;1
;Mihaela;Vukić;mvukic@ingenii.hr;2011-04-20;3;14;1
;Monika;Vlahović;mvlahovic@ingenii.hr;2011-06-03;4;14;1
;Nikolina;Sever;nsever@ingenii.hr;2019-12-20;3;14;1
;Viktorija;Abramović;vabramovic@ingenii.hr;2018-06-12;3;14;1
;Aurora;Crnković;acrnkovic@ingenii.hr;2019-05-15;5;14;1
;Lora;Mamić;lmamic@ingenii.hr;2013-05-13;3;14;1
;Viktoria;Grgurić;vgrguric@ingenii.hr;2019-11-25;4;15;1
;Iskra;Ivković;iivkovic@ingenii.hr;2010-09-06;2;15;1
;Julija;Zorić;jzoric@ingenii.hr;2010-02-06;3;15;1
;Brigita;Čović;bcovic@ingenii.hr;2015-11-16;3;15;1
;Gita;Dragičević;gdragicevic@ingenii.hr;2016-03-08;5;15;1
;Josipa;Radoš;jrados@ingenii.hr;2014-11-19;4;15;1
;Zara;Rašić;zrasic@ingenii.hr;2012-04-27;3;15;1
;Larisa;Orešković;loreskovic@ingenii.hr;2014-11-25;4;15;1
;Veronika;Sertić;vsertic@ingenii.hr;2012-06-01;3;15;1
;Ivana;Miličević;imilicevic@ingenii.hr;2016-01-13;3;15;1
;Maris;Ljubić;mljubic@ingenii.hr;2017-03-11;4;16;1
;Luka;Milković;lmilkovic@ingenii.hr;2011-05-27;2;16;1
;Jakov;Medved;jmedved@ingenii.hr;2011-05-07;3;16;1
;Ivan;Matošević;imatosevic@ingenii.hr;2014-12-16;3;16;1
;Filip;Andrić;fandric@ingenii.hr;2016-12-27;4;16;1
;Matej;Milošević;mmilosevic@ingenii.hr;2015-04-29;4;16;1
;Leon;Turković;lturkovic@ingenii.hr;2015-07-07;5;16;1
;Karlo;Franić;kfranic@ingenii.hr;2012-01-15;3;16;1
;Mateo;Mišković;mmiskovic@ingenii.hr;2015-07-04;3;16;1
;Niko;Balić;nbalic@ingenii.hr;2014-08-06;3;16;1
;Jan;Šoštarić;jsostaric@ingenii.hr;2015-11-28;4;17;1
;Gabriel;Mihalić;gmihalic@ingenii.hr;2017-11-19;2;17;1
;Vito;Milanović;vmilanovic@ingenii.hr;2017-06-04;5;17;1
;Ivano;Jurčević;ijurcevic@ingenii.hr;2019-08-10;3;17;1
;Ante;Galović;agalovic@ingenii.hr;2017-09-19;3;17;1
;Dominik;Radošević;dradosevic@ingenii.hr;2019-11-03;4;17;1
;Bruno;Rajković;brajkovic@ingenii.hr;2013-10-22;3;17;1
;Marin;Balog;mbalog@ingenii.hr;2010-10-22;3;17;1
;Matija;Mikić;mmikic@ingenii.hr;2015-11-27;4;17;1
;Antonio;Medić;amedic@ingenii.hr;2014-01-14;3;17;1
;Martin;Savić;msavic@ingenii.hr;2015-02-26;4;18;1
;Emanuel;Lacković;elackovic@ingenii.hr;2019-11-03;2;18;1
;Vid;Puškarić;vpuskaric@ingenii.hr;2019-09-04;3;18;1
;Franko;Buljan;fbuljan@ingenii.hr;2015-08-05;3;18;1
;Erik;Kolić;ekolic@ingenii.hr;2017-07-11;5;18;1
;Stjepan;Majstorović;smajstorovic@ingenii.hr;2018-09-30;4;18;1
;Bartol;Mijić;bmijic@ingenii.hr;2017-06-02;3;18;1
;Adam;Sučić;asucic@ingenii.hr;2014-12-11;3;18;1
;Liam;Tomašić;ltomasic@ingenii.hr;2015-10-29;3;18;1
;Dorian;Meštrović;dmestrovic@ingenii.hr;2019-09-14;3;18;1
;Antun;Ćurić;acuric@ingenii.hr;2010-01-02;4;19;1
;Andrija;Marijanović;amarijanovic@ingenii.hr;2014-11-07;2;19;1
;Maro;Cvitković;mcvitkovic@ingenii.hr;2014-01-30;4;19;1
;Ilija;Vukušić;ivukusic@ingenii.hr;2017-04-16;3;19;1
;Sven;Nekić;snekic@ingenii.hr;2012-11-27;3;19;1
;Jona;Hodak;jhodak@ingenii.hr;2011-01-15;4;19;1
;Domagoj;Đurđević;ddjurdjevic@ingenii.hr;2013-07-26;5;19;1
;Mak;Glavaš;mglavas@ingenii.hr;2016-11-20;3;19;1
;Aleksandar;Begić;abegic@ingenii.hr;2016-01-08;3;19;1
;Pavel;Maričić;pmaricic@ingenii.hr;2015-12-23;4;19;1
;Stefan;Rožić;srozic@ingenii.hr;2015-11-28;4;20;1
;Ivor;Kraljević;ikraljevic@ingenii.hr;2017-12-06;2;20;1
;Mauro;Devčić;mdevcic@ingenii.hr;2012-12-09;5;20;1
;Damjan;Vuletić;dvuletic@ingenii.hr;2014-10-10;3;20;1
;Max;Ostojić;mostojic@ingenii.hr;2017-06-17;3;20;1
;Pavao;Vuk;pvuk@ingenii.hr;2012-01-07;4;20;1
;Sebastian;Matanović;smatanovic@ingenii.hr;2013-04-04;4;20;1
;Aron;Jakovljević;ajakovljevic@ingenii.hr;2010-06-30;3;20;1
;Grga;Dukić;gdukic@ingenii.hr;2018-02-28;5;20;1
;Marino;Begović;mbegovic@ingenii.hr;2016-05-07;3;20;1
;Matias;Salopek;msalopek@ingenii.hr;2011-01-29;1;21;1
